Tweets,Length,Date,Source,Favourites,RTs
"Une belle initiative sur l’île de Vancouver! Si vous cherchez quelque chose à faire chez vous ce soir, une bonne idée serait d’assister au concert #RockForRelief dans votre salon… une bonne cause pour aider ceux qui sont dans le besoin présentement. Bon spectacle! Info : ⤵️ https://t.co/aSBbPYmAkz",298,2020-04-18 02:00:13,Twitter for iPhone,233,41
RT @MonaFortier: We know that workers and businesses across all sectors are impacted by #COVID19. We are taking additional action to provid…,140,2020-04-18 01:47:23,Twitter for iPhone,0,34
RT @MonaFortier: Nous savons que les travailleurs et les petites entreprises de tous les secteurs sont touchés par #COVID19. Nous prenons d…,140,2020-04-18 01:47:20,Twitter for iPhone,0,13
"Today’s the 38th anniversary of our Charter of Rights and Freedoms. It underpins who we are as a country, and at its heart is the notion of choice. As we confront this pandemic, I’m grateful so many of you have chosen to protect each other and care for one another. #CDNCharter https://t.co/fhWEYZpcQf",301,2020-04-18 01:28:36,Twitter for iPhone,8997,1597
"Aujourd’hui, c’est le 38e anniversaire de notre Charte des droits et libertés. Elle définit notre identité canadienne et repose sur la notion de choix. Face à cette pandémie, je suis heureux de vous voir aussi nombreux à choisir de prendre soin les uns des autres. #CharteCDN https://t.co/G9dppGzZMy",299,2020-04-18 01:28:22,Twitter for iPhone,616,110
"RT @s_guilbeault: You are here to cheer us on everyday, and today, we’re listening to you: a new $500M fund will provide immediate support…",139,2020-04-18 00:47:27,Twitter for iPhone,0,213
"RT @s_guilbeault: Vous êtes là pour nous encourager tous les jours, et aujourd’hui, on vous écoute : un nouveau fond de 500 millions offrir…",140,2020-04-18 00:47:25,Twitter for iPhone,0,63
"Like all sectors, the arts, culture, and sports sectors have been impacted by COVID-19. But we’re here to help - we’re giving $500 million to @CDNHeritage so people will be able to receive wage support and organizations struggling with cash flow will be able to access financing.",279,2020-04-18 00:43:02,Twitter for iPhone,1480,301
"Les secteurs des arts, de la culture et des sports sont touchés par la COVID-19. Et on est là pour aider. On investit 500 M$ à @PatrimoineCDN pour offrir une aide salariale aux gens et aider les organisations qui ont des problèmes de liquidités à accéder à du financement.",272,2020-04-18 00:42:52,Twitter for iPhone,210,40
RT @melaniejoly: SMEs play a key role in regional economic development and we understand that they are hard hit by the current crisis. That…,140,2020-04-18 00:20:46,Twitter for iPhone,0,51
RT @melaniejoly: Les PMES jouent un rôle essentiel dans le développement économique régional et on comprend qu’elles sont durement touchées…,140,2020-04-18 00:20:43,Twitter for iPhone,0,21
"We’re also investing in @Futurpreneur to support young entrepreneurs who are facing challenges due to COVID-19. And to help innovative and early-stage development firms that can’t access existing supports, we’re giving $250 million to the Industrial Research Assistance Program.",278,2020-04-18 00:05:13,Twitter for iPhone,402,67
"To help small businesses and the people they employ, we’re giving $962 million to regional development agencies and the Community Futures Network. This means more businesses - including smaller employers based in more rural parts of the country - can get the support they need.",277,2020-04-18 00:05:12,Twitter for iPhone,1191,224
"On investit aussi dans @Futurpreneur pour soutenir les jeunes entrepreneurs. Et pour aider les entreprises novatrices qui sont en démarrage et qui n’ont pas accès aux mesures de soutien actuelles, on accorde 250 M$ au Programme d’aide à la recherche industrielle.",263,2020-04-18 00:04:53,Twitter for iPhone,149,19
"On investit 962 M$ aux agences de développement régional et au Réseau de développement des collectivités pour aider un plus grand nombre de petites entreprises et leurs employés, y compris les petits employeurs dans les régions rurales, à obtenir le soutien nécessaire.",269,2020-04-18 00:04:52,Twitter for iPhone,258,34
"We’re also establishing a $750-million Emission Reduction Fund to create and maintain jobs through pollution reduction efforts right across the country. Combined, we expect the measures announced today will protect and create roughly 10,000 jobs.",246,2020-04-17 23:34:43,Twitter for iPhone,1126,163
"Workers in our energy sector are struggling right now because of things beyond their control, including the COVID-19 pandemic. So to help bring people back to work, we’re investing $1.7 billion to clean up orphan and inactive wells in Alberta, Saskatchewan, and British Columbia.",279,2020-04-17 23:34:42,Twitter for iPhone,2589,354
On établit aussi un fonds de réduction des émissions de 750 millions $ pour créer et préserver des emplois grâce à nos efforts de réduction de la pollution à travers le pays. On s’attend à ce que toutes les mesures annoncées aujourd’hui protègent et créent environ 10 000 emplois.,280,2020-04-17 23:34:26,Twitter for iPhone,136,18
"Les travailleurs du secteur de l’énergie vivent des difficultés pour des raisons qui sont hors de leur contrôle, dont la pandémie de la COVID-19. Pour les aider, on investit 1,7 milliard $ dans le nettoyage des puits orphelins et inactifs en Alberta, en Saskatchewan et en C.-B.",278,2020-04-17 23:34:26,Twitter for iPhone,218,40
RT @FilomenaTassi: .@CCOHS has released new guidelines for health and safety in Canada's essential economic sectors. For employers and work…,140,2020-04-17 22:25:27,Twitter for iPhone,0,43
RT @FilomenaTassi: .@CCHST_CA a publié de nouvelles lignes directrices sur la santé et la sécurité dans les secteurs économiques essentiels…,140,2020-04-17 22:25:25,Twitter for iPhone,0,11
RT @BillBlair: Our government has approved a request from Québec for around 125 @CanadianForces medical staff to support workers in long te…,140,2020-04-17 21:05:04,Twitter for iPhone,0,78
RT @BillBlair: Nous avons approuvé une demande du Québec pour environ 125 membres du personnel médical des @ForcesCanada pour soutenir les…,139,2020-04-17 21:05:00,Twitter for iPhone,0,30
"We’ve been taking action to help businesses and organizations across the country keep their doors open and their employees on the payroll. And today, we’re taking further steps to protect jobs and provide support to those feeling the impacts of COVID-19: https://t.co/wETDH8G9jZ",278,2020-04-17 20:12:05,Twitter for iPhone,998,215
"On travaille fort pour aider les entreprises et les organisations du pays à rester ouvertes et à garder leurs employés. Et aujourd‘hui, on prend de nouvelles mesures pour protéger les emplois et soutenir ceux qui subissent les impacts de la COVID-19 : https://t.co/b3KmczJnAA",275,2020-04-17 20:11:58,Twitter for iPhone,209,45
"We’re working day and night to make sure everyone gets through this challenging time. And today, I’m announcing new supports to make sure more people get the help they need. Watch live: https://t.co/DcPJV1bkW7",209,2020-04-17 15:23:09,Twitter for iPhone,1003,179
"On travaille jour et nuit pour que tout le monde puisse passer à travers ces moments difficiles. Aujourd’hui, j’annonce de nouvelles mesures de soutien pour qu’encore plus de gens aient l’aide dont ils ont besoin. Regardez ici : https://t.co/ZbQ3uy70Md",252,2020-04-17 15:23:03,Twitter for iPhone,236,44
"RT @CanadianPM: A few weeks ago, the Government of Canada launched the Canada Emergency Business Account to help small businesses strugglin…",140,2020-04-17 02:29:21,Twitter for iPhone,0,266
"RT @PMcanadien: Il y a plusieurs semaines, le gouvernement du Canada a instauré le Compte d’urgence pour les entreprises afin d’aider les p…",140,2020-04-17 02:29:17,Twitter for iPhone,0,53
"Just got off the phone with @cafreeland and the Premiers again. We’re working together as Team Canada to get you the support you need, protect our most vulnerable, and support our economy. As we have from the beginning, we’ll stay in touch as the situation continues to evolve. 🇨🇦",280,2020-04-17 01:22:45,Twitter for iPhone,6926,704
"Je viens de parler avec @cafreeland et les premiers ministres. On travaille ensemble, dans une approche pancanadienne, pour vous appuyer, protéger les gens les plus vulnérables et soutenir notre économie. Comme toujours, on reste en contact à mesure que la situation évolue. 🇨🇦",277,2020-04-17 01:22:36,Twitter for iPhone,409,49
"RT @MarcMillerVM: As of April 16th, Canada has shipped or delivered 531 orders for Personal Protective Equipment (PPE), including hand sani…",140,2020-04-17 00:40:18,Twitter for iPhone,0,88
"RT @MarcMillerVM: En date du 16 avril, le Canada a expédié 531 commandes d'équipement de protection individuelle (ÉPI) (désinfectant pour l…",140,2020-04-17 00:40:16,Twitter for iPhone,0,17
"I wanted to share an update on testing: Fredericton’s @LuminUltra is ramping up production to meet the weekly demand for test chemicals across the country. And in the past few days, we received a new batch of swabs to make sure every province has what they need to keep testing.",278,2020-04-16 22:42:53,Twitter for iPhone,2351,402
"Du nouveau sur les tests : @LuminUltra de Fredericton augmente sa cadence de production afin de fournir assez de produits chimiques pour faire les tests chaque semaine au pays. Et ces derniers jours, on a reçu des écouvillons pour que les provinces puissent continuer à tester.",277,2020-04-16 22:42:44,Twitter for iPhone,268,37
"RT @CanRevAgency: Reminder! Born in October, November or December? You can now apply for the 2nd period of the #CERB (April 12th to May 9th…",140,2020-04-16 20:45:26,Twitter for iPhone,0,166
"RT @AgenceRevCan: Rappel! Êtes-vous né en octobre, novembre ou décembre? Vous pouvez maintenant soumettre une demande pour la 2e période de…",140,2020-04-16 20:45:20,Twitter for iPhone,0,40
"RT @FP_Champagne: As we mark 100 days since the downing of Flight #PS752, the government would like to extend its condolences to the famili…",140,2020-04-16 20:13:21,Twitter for iPhone,0,94
"RT @FP_Champagne: Alors que nous marquons le 100 ème jour de la chute du vol #PS752, le gouv. souhaite présenter ses condoléances les plus…",139,2020-04-16 20:13:19,Twitter for iPhone,0,25
We need to keep working together with our partners and the international community to beat COVID-19. I spoke again today with G7 leaders about taking strong action together - and doing whatever it takes - to keep people safe and support our economies. https://t.co/J9ICez6FJq,275,2020-04-16 19:32:49,Twitter for iPhone,3078,437
"On doit continuer à travailler avec nos partenaires et toute la communauté internationale pour vaincre la COVID-19. Aujourd’hui, j’ai parlé avec les dirigeants du G7 des importantes mesures qu’on peut prendre ensemble pour protéger nos gens et nos économies. https://t.co/bUezXiL9Mf",282,2020-04-16 19:32:31,Twitter for iPhone,310,45
"RT @AnitaOakville: UPDATE❗️

6 chartered flights w/ medical supplies have arrived in 🇨🇦 &amp; we‘re expecting 4 more in the next week

To date…",143,2020-04-16 19:22:30,Twitter for iPhone,0,454
"RT @AnitaOakville: MISE À JOUR❗️ 

6 vols transportant des biens médicaux sont arrivés au 🇨🇦 et nous en attendons 4 autres au cours de la s…",140,2020-04-16 19:22:28,Twitter for iPhone,0,46
"RT @Bill_Morneau: The Canada Emergency Business Account launched last week, and already more than 195,000 loans have been approved. Today,…",139,2020-04-16 18:10:06,Twitter for iPhone,0,128
RT @Bill_Morneau: Le Compte d’urgence pour les entreprises canadiennes a été lancé la semaine dernière et déjà plus de 195 000 prêts ont ét…,140,2020-04-16 18:10:04,Twitter for iPhone,0,37
"The bottom line is this: We’ve got your back. And we’re rolling out measures to support you and your business as quickly as possible. So for more information on today’s announcement and how this will help your business, click here: https://t.co/wFxLJIzOIy",255,2020-04-16 17:15:24,Twitter for iPhone,600,151
"We’re also planning to introduce the Canada Emergency Commercial Rent Assistance to help small businesses cover rent for the months of April, May, and June. I’ll have more details to share on this soon.",202,2020-04-16 17:15:24,Twitter for iPhone,728,170
"If your business spent between $20,000 and $1,500,000 in total payroll last year, it’ll now be eligible to receive a loan through the Canada Emergency Business Account. This is money that your business can use to cover operating costs and other immediate needs.",261,2020-04-16 17:15:24,Twitter for iPhone,369,100
"If you’re a business owner struggling with cash flow and facing difficult decisions, we’re here to help you pull through. We’re expanding the Canada Emergency Business Account by both increasing and decreasing the eligibility threshold. Here’s what that means for you: ⤵️",271,2020-04-16 17:15:23,Twitter for iPhone,2275,427
"Au bout du compte, sachez ceci : on sera toujours là pour vous. On prend des mesures pour vous aider, vous et votre entreprise. Pour plus de renseignements sur l’annonce d’aujourd’hui et comment elle peut vous aider : https://t.co/PMO1wmHGuV",241,2020-04-16 17:15:12,Twitter for iPhone,102,17
"On prévoit aussi mettre en place l‘Aide d‘urgence du Canada pour le loyer commercial, pour aider les petites entreprises à payer le loyer des mois d’avril, de mai et de juin. Je donnerai bientôt plus de détails à ce sujet.",222,2020-04-16 17:15:12,Twitter for iPhone,95,14
"Les entreprises ayant dépensé entre 20 000 $ et 1,5 million de dollars en masse salariale l’an dernier ont maintenant accès à un prêt dans le cadre du Compte d’urgence pour les entreprises canadiennes pour couvrir leurs frais d’exploitation ou d’autres besoins.",261,2020-04-16 17:15:12,Twitter for iPhone,45,8
On est là pour aider les propriétaires de petites entreprises qui font face à des problèmes de liquidités ou à de dures décisions. On rend le Compte d’urgence pour les entreprises canadiennes plus accessible en augmentant et en abaissant le seuil d’admissibilité. Détails : ⤵️,276,2020-04-16 17:15:11,Twitter for iPhone,210,42
We’re announcing changes to the Canada Emergency Business Account so more business owners can get the support they need to bridge to better times. Tune in now for the details and other updates: https://t.co/7mIuaWURph,217,2020-04-16 15:17:57,Twitter for iPhone,838,212
On annonce des changements au Compte d’urgence pour les entreprises canadiennes pour aider les propriétaires d’entreprises à revenir en force lorsqu’on aura passé à travers ces moments difficiles. Regardez en direct : https://t.co/7pKGUjbUH5,241,2020-04-16 15:17:51,Twitter for iPhone,183,44
"RT @CanadianPM: Millions of people have already received the CERB, but we know that a lot of people are not eligible and still need help. T…",140,2020-04-16 02:18:40,Twitter for iPhone,0,414
"RT @PMcanadien: Des millions de personnes ont déjà reçu la PCU, mais on sait que bien des gens ne sont pas admissibles et ont toujours beso…",140,2020-04-16 02:18:37,Twitter for iPhone,0,69
"RT @CQualtro: We are committed to supporting all workers impacted by #COVID19. We’re improving access to the CERB to:
 
➡️support seasonal…",139,2020-04-16 01:17:50,Twitter for iPhone,0,96
RT @CQualtro: Nous sommes engagés à soutenir tous les travailleurs touchés par la #COVID19. Nous améliorons l'accès à la PCU pour soutenir:…,140,2020-04-16 01:17:48,Twitter for iPhone,0,24
RT @CPHO_Canada: All persons entering Canada must isolate or quarantine for 14 days away from vulnerable people whether or not they have sy…,140,2020-04-15 23:52:24,Twitter for iPhone,0,241
"RT @ACSP_Canada: Toute personne entrant au 🇨🇦, avec ou sans symptômes de la COVID-19, doit s’isoler ou se mettre en quarantaine pendant 14…",139,2020-04-15 23:52:16,Twitter for iPhone,0,32
"RT @HarjitSajjan: Since early April, the @CanadianForces' Rangers have been helping in Nunavik. When asked to help in Basse-Côte-Nord &amp; pro…",144,2020-04-15 23:34:50,Twitter for iPhone,0,62
"RT @HarjitSajjan: Depuis avril, les Rangers des @ForcesCanada aident au Nunavik. Lorsque appelés à assister la Basse-Côte-Nord et à apporte…",140,2020-04-15 23:34:47,Twitter for iPhone,0,24
RT @GovCanHealth: Finding it difficult to cope during #COVID19? The Wellness Together Canada mental health and substance use support portal…,140,2020-04-15 20:18:51,Twitter for iPhone,0,386
"RT @GouvCanSante: Vous vivez des moments difficiles à cause de la #COVID19? Espace mieux-être Canada, un portail de soutien en matière de s…",140,2020-04-15 20:18:48,Twitter for iPhone,0,124
"RT @mary_ng: ✳️Attention all contract, gig, or part-time workers✳️

We just announced we're making the Canada Emergency Response Benefit mo…",140,2020-04-15 19:29:14,Twitter for iPhone,0,209
"RT @mary_ng: ✳️Pour les travailleurs sous contrat ou à temps partiel✳️

Nous rendons la Prestation canadienne d'urgence plus flexible afin…",139,2020-04-15 19:29:11,Twitter for iPhone,0,27
"RT @FilomenaTassi: Today with leaders from labour and industry, I released this statement affirming our common goals during the challenges…",139,2020-04-15 18:59:59,Twitter for iPhone,0,31
"RT @FilomenaTassi: Aujourd'hui, avec les dirigeants des syndicats et de l'industrie, nous avons publié cette déclaration affirmant nos obje…",140,2020-04-15 18:59:56,Twitter for iPhone,0,14
"Our team will keep working around the clock to help you through this uncertain time. If you want to learn more about the expanded access to the Canada Emergency Response Benefit and the support for essential workers that we announced today, click here: https://t.co/EbrWsdhyLF",276,2020-04-15 17:06:20,Twitter for iPhone,856,186
Notre équipe travaille jour et nuit pour vous aider à traverser ces moments d’incertitude. Pour en savoir davantage sur le plus grand accès à la Prestation canadienne d’urgence et le soutien aux travailleurs essentiels annoncés aujourd’hui : https://t.co/bGWYBxyo7T,265,2020-04-15 17:06:15,Twitter for iPhone,126,21
"And if you’re an essential worker who’s making less than $2,500 a month, we’re working with the provinces and territories to boost your wages. We’re going to make sure you have the support you need so you can continue to do the critical work that so many of us rely on.",269,2020-04-15 16:00:28,Twitter for iPhone,2405,486
"If you have a seasonal job and there won’t be any work for you this year because of COVID-19, you can now apply for the Canada Emergency Response Benefit. And if you can’t find a job or return to work but have recently exhausted your EI benefits, you can apply now too.",269,2020-04-15 16:00:27,Twitter for iPhone,1680,359
"We’re doing everything we can to help you - and today, we’re making it possible for more people to access the Canada Emergency Response Benefit. If you’re earning $1,000 or less per month right now, you can apply for the benefit and get the help you need.",255,2020-04-15 16:00:27,Twitter for iPhone,7995,1580
"Et si vous êtes un travailleur essentiel et gagnez moins de 2 500 $ par mois, nous travaillons avec les provinces et territoires pour augmenter votre salaire. Nous allons vous offrir du soutien pour que vous puissiez continuer à faire ce travail si important pour tous.",269,2020-04-15 16:00:19,Twitter for iPhone,213,25
"Si vous avez un travail saisonnier que vous ne pouvez pas occuper cette année, demandez la Prestation canadienne d’urgence. Et si vous ne pouvez pas trouver un emploi ou retourner au travail et vos prestations d’AE sont terminées, vous pouvez aussi la demander.",261,2020-04-15 16:00:18,Twitter for iPhone,118,20
"On fait tout ce qu’on peut pour vous aider. Aujourd’hui, on annonce un plus grand accès à la Prestation canadienne d’urgence. Si, en ce moment, vous gagnez 1 000 $ et moins par mois, vous pouvez demander cette prestation et obtenir l’aide dont vous avez besoin.",261,2020-04-15 16:00:18,Twitter for iPhone,404,71
"We’re announcing changes to the Canada Emergency Response Benefit so more people can get the help they need during this challenging time. For details on that and more, watch my announcement live: https://t.co/vYrYMXklXU",219,2020-04-15 15:18:24,Twitter for iPhone,1571,477
"Nous annonçons des changements à la Prestation canadienne d’urgence afin qu’encore plus de gens puissent obtenir l’aide nécessaire pendant cette période difficile. Pour connaître les détails de cette annonce et plus encore, regardez en direct : https://t.co/S43b6yw9Xt",268,2020-04-15 15:18:19,Twitter for iPhone,164,38
"It’s okay to have tough days. If you’re feeling anxious or stressed, know that you’re not alone. We’re here for you - and we’re making sure there are tools and resources available to help you. Today, @GovCanHealth launched a new mental health portal: https://t.co/l2SFWgUSAp https://t.co/f5UGwUCJ2p",298,2020-04-15 14:42:31,Twitter for iPhone,1964,676
"C’est normal d’avoir des journées difficiles. Si vous ressentez de l’anxiété ou du stress, vous n’êtes pas seul. On est là pour vous fournir les outils et ressources nécessaires. Aujourd’hui, @GouvCanSante a lancé un nouveau portail sur la santé mentale : https://t.co/DaZxm7IT8c https://t.co/TOvnrYGLdy",303,2020-04-15 14:39:40,Twitter for iPhone,302,85
We received new shipments of personal protective equipment over the weekend - over a million N95 masks and millions of pairs of gloves - and Canadian-made gowns will be delivered starting Monday. We’ll keep working so those on the front line have what they need to stay safe.,275,2020-04-15 00:33:33,Twitter for iPhone,14410,1802
"On a reçu de l’équipement de protection personnelle au cours du week-end, dont plus d’un million de masques N95 et des millions de paires de gants. Des blouses de protection seront aussi livrées dès lundi. On continue à travailler fort pour assurer la sécurité des travailleurs.",278,2020-04-15 00:33:25,Twitter for iPhone,532,73
"RT @MarcMillerVM: The Prime Minister, Justin Trudeau, today announced additional support to address immediate health, economic, and transpo…",140,2020-04-15 00:26:51,Twitter for iPhone,0,104
RT @MarcMillerVM: Le premier ministre Justin Trudeau a annoncé aujourd’hui les mesures d’aide supplémentaires suivantes pour répondre aux b…,140,2020-04-15 00:26:48,Twitter for iPhone,0,19
RT @HarjitSajjan: Cyber criminals want to take advantage of these uncertain days. Don't let alarming messages about your bank account fool…,139,2020-04-14 23:39:32,Twitter for iPhone,0,161
"RT @HarjitSajjan: Les cyber-criminels veulent tirer profit de la situation présente, mais ne laissez pas leurs courriels alarmistes vous be…",140,2020-04-14 23:39:30,Twitter for iPhone,0,22
"RT @stbstvdan: Our gov’t is working with territorial partners to address the unique needs of northerners. Today, we committed $15 million i…",140,2020-04-14 23:09:00,Twitter for iPhone,0,43
RT @stbstvdan: Notre gouv travaille avec nos partenaires territoriaux afin de répondre aux besoins uniques des résidents du Nord. Aujourd’h…,140,2020-04-14 23:08:58,Twitter for iPhone,0,17
"To make sure First Nations have the resources they need to keep people safe as the COVID-19 situation evolves, we’ve been working closely with @AFN_Updates and National Chief @PerryBellegarde. And today, we talked about what more we can do together: https://t.co/KVBJpJr6Ae",273,2020-04-14 21:49:46,Twitter for iPhone,579,141
"Pour que les Premières Nations aient les ressources nécessaires tout au long de la situation de la COVID-19, on travaille de près avec l’@AFN_Updates et le chef @PerryBellegarde. Aujourd’hui, on a parlé de ce qu’on peut faire de plus ensemble : https://t.co/PxsjItrkdZ",268,2020-04-14 21:49:41,Twitter for iPhone,172,27
RT @PattyHajdu: I have seen the heartbreaking stories of outbreaks in long-term care homes. We know these residents are more vulnerable. To…,140,2020-04-14 21:48:24,Twitter for iPhone,0,107
RT @PattyHajdu: J'ai vu les histoires déchirantes d'épidémies dans des établissements de soins de longue durée. Nous savons que ces résiden…,140,2020-04-14 21:48:22,Twitter for iPhone,0,19
RT @FilomenaTassi: Frontline workers in essential occupations are doing their best to ensure Canadians’ needs are met during the #COVID19 p…,140,2020-04-14 20:56:53,Twitter for iPhone,0,42
RT @FilomenaTassi: Les travailleurs essentiels font de leur mieux pour s'assurer que les besoins des Canadiens sont satisfaits pendant la p…,140,2020-04-14 20:56:51,Twitter for iPhone,0,20
"RT @mclaudebibeau: 📢Today, we're announcing $20M to support @InspectionCan's essential services of making sure Canadians continue to have a…",140,2020-04-14 20:12:18,Twitter for iPhone,0,80
RT @mclaudebibeau: 📢Nous annonçons 20 millions de dollars pour soutenir les services essentiels de l'@InspectionCanFR afin de s'assurer que…,140,2020-04-14 20:12:16,Twitter for iPhone,0,30
"These are tough times, but we’re going to help you through them. For more on these investments and the steps we’re taking to address the unique needs of Northerners, click here: https://t.co/7xrMlGs5dK",201,2020-04-14 17:25:34,Twitter for iPhone,420,81
"We’re also investing more money in Nutrition North so it’s easier to afford the food and basics that keep you healthy. And to make sure things like groceries and medical equipment get to you, we’re providing funding for Northern air carriers to transport these supplies.",270,2020-04-14 17:25:34,Twitter for iPhone,577,83
We’re investing in health care and community preparedness so your local health centre has the resources they need to fight COVID-19 and keep you safe. And we’re giving @GCCanNor more funding to help small business owners and entrepreneurs in the North.,252,2020-04-14 17:25:33,Twitter for iPhone,366,49
"In small towns and big cities, from coast to coast to coast, we’re working to make sure you get the help you need - no matter where you live. Today, we’re announcing new investments to support Northern communities as they deal with the COVID-19 pandemic and its impacts.",270,2020-04-14 17:25:33,Twitter for iPhone,3031,391
"Nous vivons des moments difficiles, mais nous allons vous aider à passer à travers. Pour en savoir plus sur ces investissements et les mesures que nous prenons pour répondre aux besoins particuliers des habitants du Nord, cliquez ici : https://t.co/YtYnguvrVI",259,2020-04-14 17:25:24,Twitter for iPhone,97,16
"Nous investissons aussi plus d’argent dans Nutrition Nord pour que la nourriture et les articles essentiels soient plus abordables. Et pour que les aliments et fournitures médicales se rendent à vous, nous accordons des fonds aux transporteurs aériens du Nord.",260,2020-04-14 17:25:24,Twitter for iPhone,120,15
Nous investissons dans des mesures de préparation afin que vos centres de santé locaux aient les ressources pour combattre la COVID-19 et vous protéger. Et nous augmentons les fonds accordés à @GdCCanNor pour aider les proprios de petites entreprises et les entrepreneurs du Nord.,280,2020-04-14 17:25:24,Twitter for iPhone,81,9
"Que vous viviez dans un village ou une grande ville, dans un coin ou l’autre du pays, nous veillons à vous offrir l’aide dont vous avez besoin. Aujourd’hui, on a annoncé de nouveaux investissements pour aider les communautés du Nord à faire face à la pandémie de la COVID-19.",275,2020-04-14 17:25:23,Twitter for iPhone,327,49
"We’re working to make sure everyone has access to the food, supplies, health care, and services they need during this tough time. Tune in now for my daily update on our response to COVID-19 and the steps we’re taking: https://t.co/nnhByk4obr",241,2020-04-14 15:16:53,Twitter for iPhone,1003,162
"On est là pour vous, et on va s’assurer que tout le monde ait accès à de la nourriture, des fournitures, des soins de santé et des services pendant cette période difficile. Regardez mon discours sur les mesures qu’on prend pour faire face à la COVID-19: https://t.co/7XZj7mhwGA",277,2020-04-14 15:16:49,Twitter for iPhone,198,42
RT @AnitaOakville: These newly received N-95 masks are undergoing testing and will soon be on their way to the front lines in the provinces…,140,2020-04-13 23:42:32,Twitter Web App,0,120
RT @AnitaOakville: Ces masques N95 nouvellement reçus sont en cours de test et seront bientôt en route vers les lignes de front dans les pr…,140,2020-04-13 23:42:29,Twitter Web App,0,30
"RT @CanRevAgency: Reminder! Born in January, February or March? You can now apply for the 2nd period of the #CERB (April 12th to May 9th).…",139,2020-04-13 23:29:19,Twitter Web App,0,190
"RT @AgenceRevCan: Rappel! Êtes-vous né en janvier, février ou mars? Vous pouvez maintenant soumettre une demande pour la 2e période de la #…",140,2020-04-13 23:29:10,Twitter Web App,0,32
RT @BernJordanMP: Our Govt has been working diligently across party lines to ensure Canadians have the supports they need during this unpre…,140,2020-04-13 23:19:58,Twitter Web App,0,48
RT @BernJordanMP: Notre gouvernement a travaillé avec diligence au-delà des lignes de parti pour s’assurer que les Canadiens aient le souti…,140,2020-04-13 23:19:54,Twitter Web App,0,14
RT @marcomendicino: Temporary foreign workers are critical to our food supply. We will work with farmers and food processing employers to e…,140,2020-04-13 20:38:55,Twitter Web App,0,113
RT @marcomendicino: Les TÉT sont essentiels à notre app. alimentaire. Nous travaillerons avec les agri. et les employeurs de l'industrie po…,140,2020-04-13 20:38:47,Twitter Web App,0,23
RT @CPHO_Canada: #PhysicalDistancing and not being able to gather together is difficult. Thank you for celebrating virtually and at home wi…,140,2020-04-13 16:50:11,Twitter Web App,0,144
RT @ACSP_Canada: Il n’est pas facile de poursuivre l’#éloignementphysique et de ne pas pouvoir se rassembler. Merci de célébrer de façon vi…,140,2020-04-13 16:50:01,Twitter Web App,0,36
RT @GovCanHealth: Health Canada has authorized a new rapid screening test developed by #Ottawa-based @spartanbio to diagnose #COVID19 in le…,140,2020-04-13 16:47:06,Twitter Web App,0,610
"RT @GouvCanSante: Santé Canada autorise un nouveau test de dépistage de la #COVID19 développé par @spartanbio, entreprise d’#Ottawa, pour p…",140,2020-04-13 16:47:00,Twitter Web App,0,71
"RT @NavdeepSBains: Vaisakhi is a time to focus on what matters. As we face challenging circumstances, Sikh organizations like @KhalsaAidCA…",139,2020-04-13 15:33:58,Twitter Web App,0,118
"Vaisakhi is a time to focus on what matters - family, friends, and being there for our neighbours. And although we can’t come together at a Nagar Kirtan or a Gurdwara this year, I want to wish all Sikh Canadians celebrating a very happy Vaisakhi! https://t.co/mF9PbUdTLq https://t.co/s0i56qGBXB",294,2020-04-13 13:33:14,Twitter Media Studio,4539,1032
"Le Vaisakhi est l’occasion de réfléchir à ce qui compte : nos proches et être là pour les autres. Même si on ne peut pas se réunir cette année lors du Nagar Kirtan ou au Gurdwara, je souhaite un joyeux Vaisakhi à tous les Canadiens sikhs qui célèbrent! https://t.co/k3F3j8NBwt https://t.co/l8P6JqV0W4",300,2020-04-13 13:32:17,Twitter Media Studio,504,80
"Wishing a happy and healthy New Year to Tamils celebrating Puthandu. As we give thanks for the blessings in our lives today, let's find new ways to mark this special occasion - so that when we get through this, we can all celebrate together. https://t.co/9F2iZo2ZNQ",265,2020-04-13 13:14:11,Twitter Web App,1821,447
"Je souhaite bonheur et santé aux Tamils qui célèbrent le Puthandu. Soyons reconnaissants pour ce que la vie nous apporte et trouvons de nouvelles façons de souligner cette fête. Et une fois cette épreuve derrière nous, nous pourrons célébrer ensemble. https://t.co/iZSNwgBJWT",275,2020-04-13 13:13:22,Twitter Web App,279,46
@brocktyler Thanks for the laugh... it’s my new hand-washing song.,66,2020-04-12 23:04:02,Twitter for iPhone,2086,280
RT @CanRevAgency: Reminder! You’ll be able to apply for second period of the #CERB (April 12th to May 9th) starting tomorrow at 6 AM (ET).…,139,2020-04-12 22:37:51,Twitter for iPhone,0,336
RT @AgenceRevCan: Rappel! Vous pourrez soumettre une demande pour la deuxième période de la #PCU (du 12 avril au 9 mai) à compter de demain…,140,2020-04-12 22:37:48,Twitter for iPhone,0,42
"We’ve all heard that music is good for the soul - and I think we could all use a little of that right now. So thank you for this moving tribute to front line health care workers, @OSMconcerts. https://t.co/BeujqhBwq6",216,2020-04-12 19:10:23,Twitter for iPhone,1230,218
"Nous savons tous que la musique est bonne pour le moral, et je pense que nous en avons besoin en ce moment. Donc, merci pour cet émouvant hommage aux travailleurs de la santé de première ligne, @OSMconcerts. https://t.co/BeujqhBwq6",231,2020-04-12 19:10:08,Twitter for iPhone,313,61
