,Tweets,Length,Date,Source,Favourites,RTs,Language,isRT,Month
313,"We’re working day and night to make sure everyone gets through this challenging time. And today, I’m announcing new supports to make sure more people get the help they need. Watch live: https://t.co/DcPJV1bkW7",209,2020-04-17 15:23:09,Twitter for iPhone,1003,179,en,False,March
317,"Just got off the phone with @cafreeland and the Premiers again. We’re working together as Team Canada to get you the support you need, protect our most vulnerable, and support our economy. As we have from the beginning, we’ll stay in touch as the situation continues to evolve. 🇨🇦",280,2020-04-17 01:22:45,Twitter for iPhone,6926,704,en,False,March
321,"I wanted to share an update on testing: Fredericton’s @LuminUltra is ramping up production to meet the weekly demand for test chemicals across the country. And in the past few days, we received a new batch of swabs to make sure every province has what they need to keep testing.",278,2020-04-16 22:42:53,Twitter for iPhone,2351,402,en,False,March
327,We need to keep working together with our partners and the international community to beat COVID-19. I spoke again today with G7 leaders about taking strong action together - and doing whatever it takes - to keep people safe and support our economies. https://t.co/J9ICez6FJq,275,2020-04-16 19:32:49,Twitter for iPhone,3078,437,en,False,March
333,"The bottom line is this: We’ve got your back. And we’re rolling out measures to support you and your business as quickly as possible. So for more information on today’s announcement and how this will help your business, click here: https://t.co/wFxLJIzOIy",255,2020-04-16 17:15:24,Twitter for iPhone,600,151,en,False,March
334,"We’re also planning to introduce the Canada Emergency Commercial Rent Assistance to help small businesses cover rent for the months of April, May, and June. I’ll have more details to share on this soon.",202,2020-04-16 17:15:24,Twitter for iPhone,728,170,en,False,March
335,"If your business spent between $20,000 and $1,500,000 in total payroll last year, it’ll now be eligible to receive a loan through the Canada Emergency Business Account. This is money that your business can use to cover operating costs and other immediate needs.",261,2020-04-16 17:15:24,Twitter for iPhone,369,100,en,False,March
336,"If you’re a business owner struggling with cash flow and facing difficult decisions, we’re here to help you pull through. We’re expanding the Canada Emergency Business Account by both increasing and decreasing the eligibility threshold. Here’s what that means for you: ⤵️",271,2020-04-16 17:15:23,Twitter for iPhone,2275,427,en,False,March
341,We’re announcing changes to the Canada Emergency Business Account so more business owners can get the support they need to bridge to better times. Tune in now for the details and other updates: https://t.co/7mIuaWURph,217,2020-04-16 15:17:57,Twitter for iPhone,838,212,en,False,March
357,"Our team will keep working around the clock to help you through this uncertain time. If you want to learn more about the expanded access to the Canada Emergency Response Benefit and the support for essential workers that we announced today, click here: https://t.co/EbrWsdhyLF",276,2020-04-15 17:06:20,Twitter for iPhone,856,186,en,False,March
359,"And if you’re an essential worker who’s making less than $2,500 a month, we’re working with the provinces and territories to boost your wages. We’re going to make sure you have the support you need so you can continue to do the critical work that so many of us rely on.",269,2020-04-15 16:00:28,Twitter for iPhone,2405,486,en,False,March
360,"If you have a seasonal job and there won’t be any work for you this year because of COVID-19, you can now apply for the Canada Emergency Response Benefit. And if you can’t find a job or return to work but have recently exhausted your EI benefits, you can apply now too.",269,2020-04-15 16:00:27,Twitter for iPhone,1680,359,en,False,March
