;#covid19;pennsylvania;pennsylvanians;help;health;home;phase;counties;stay;businesses;people;pa;reopening;thank;safe;yellow;guidance;continue;work;vote;spread;plan;safety;new;care;commonwealth;lives;masks;resources;students;order;food;mask;election;green;public;may;program;protect;place;wear;pandemic;social;move;red;2;cases;june;business;primary;workers;mail;schools;mental;reopen;violence;restrictions;county;sign;register;together;distancing;state;stop;information;still;working;school;learn;take;paians;across;assistance;available;@pahealthdept;everyone;ballot;million;support;latest;making;heres;efforts;part;prevent;proud;unemployment;please;signed;pennsylvanian;find;registration;follow;close;law;possible;employees;provide;virus;families
workers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;2;0;0;0;4;2;2;0;0;0;0;2;0;0;6;2;2;2;4;0;6;4;0;0;2;0;0;0;0;0;0;4;0;2;0;0;0;2;0;6;4;2;0
mail;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;40;20;0;0;0;2;0;0;0;0;6;0;0;0;0;0;0;0;36;6;0;0;0;0;0;0;0;2;0;0;16;0;6;12;0;0;0;0;0;0;0;0
schools;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;4;2;0;0;2;6;4;0;4;4;0;0;0;2;0;4;0;2;2;0;0;2;2;2;0;0;0;0;0;0;0;2;2;2;0;2;0;0
mental;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;2;0;0;2;0;0;0;8;0;0;0;0;8;0;0;0;2;0;0;0;0;6;0;2;2;0;0;0;0;0;0;2;0;0
reopen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;6;6;0;4;0;4;6;0;0;2;4;0;0;0;0;2;0;0;0;0;2;0;4;2;6;2;0;0;2;2;0;0;6;2;2;4;0;0;2;2
violence;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;2;0;0;2;2;0;12;0;0;2;4;0;0;0;2;0;0;0;0;0;4;8;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
restrictions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;0;0;0;14;4;0;2;2;2;0;0;2;2;0;0;0;0;0;2;2;0;0;4;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0
county;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;6;2;2;0;2;0;4;0;6;2;0;2;2;4;2;0;0;0;2;4;0;4;2;0;4;0;0;0;0;0;2;0
sign;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;2;2;0;0;0;0;2;0;2;2;0;0;0;0;28;6;0;0;0;0;0;2;0;2;0;0;16;0;4;12;2;0;0;0;0;0;0;0
register;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;4;28;0;0;0;0;0;0;0;0
